,Code,name,ownership,sponsor,composition,nature,enrolment2007,nTeachers,pupil2TeacherRatio,District,Division,Location,Sublocation,Costituency,Province,coordinates,lat,lon,county
5988,A8010460,MIENDO FRIENDS SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,304,12,25.333333333333332,BUNGOMA,WEBUYE,BOKOLI,MIENDO,WEBUYE,WESTERN,"(0.66668000000, 34.68684000000)",0.66668,34.68684,Bungoma
5989,A8010567,KITUNI HIGH SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,261,20,13.05,BUNGOMA,WEBUYE,MISIKHU,KITUNI,WEBUYE,WESTERN,"(0.66723800000, 34.72721300000)",0.667238,34.727213,Bungoma
5990,G7030037,ITEN MIXED SEC,PUBLIC,COMMUNITY,MIXED,DAY,90,5,18.0,KEIYO,KAMARINY,IRONG,ITEN,KEIYO NORTH,RIFT VALLEY,"(0.66964000000, 35.50824000000)",0.66964,35.50824,Keiyo-Marakwet
5991,A8010232,DEB LUNYU SEC,PUBLIC,COMMUNITY,MIXED,DAY,103,9,11.444444444444445,BUNGOMA,TONGAREN,MBAKALO,KIBISI,KIMILILI,WESTERN,"(0.67405900000, 34.84745600000)",0.674059,34.847456,Bungoma
5992,J8010049,FRIENDS SEC SCH LUTACHO,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,272,11,24.727272727272727,BUNGOMA,NDIVISI,LUGUSI,LUTACHO,WEBUYE,WESTERN,"(0.67450000000, 34.81560000000)",0.6745,34.8156,Bungoma
5993,G7030433,SERGOIT SECONDARY SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,116,10,11.6,KEIYO,KAMARINY,IRONG,SERGOIT,KEIYO NORTH,RIFT VALLEY,"(0.67494000000, 35.44121000000)",0.67494,35.44121,Keiyo-Marakwet
5994,B8050472,LUNYITO SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,87,10,8.7,LUGARI,LUGARI,LUGARI,LUGARI,LUGARI,WESTERN,"(0.67561000000, 34.87463000000)",0.67561,34.87463,Kakamega
5995,E7161767,KAPTEBENGWET SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,90,9,10.0,UASIN GISHU,SOY,SOY,SOY,ELDORET NORTH,RIFT VALLEY,"(0.67577900000, 35.21568000000)",0.675779,35.21568,Uasin Gishu
5996,G7030001,ST PATRICKS ITEN SEC,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING,643,32,20.09375,KEIYO,KAMARINY,IRONG,ITEN TOWNSHIP,KEIYO NORTH,RIFT VALLEY,"(0.67671000000, 35.50460000000)",0.67671,35.5046,Keiyo-Marakwet
5997,E7161758,SOY SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,219,14,15.642857142857142,UASIN GISHU,SOY,SOY,SOY,ELDORET NORTH,RIFT VALLEY,"(0.67718300000, 35.17798600000)",0.677183,35.177986,Uasin Gishu
5999,A8010609,SIRISIA BOK ERST SEC,PUBLIC,COMMUNITY,MIXED,DAY,42,4,10.5,BUNGOMA,WEBUYE,MISIKHU,MISIKHU,WEBUYE,WESTERN,"(0.68174300000, 34.72450100000)",0.681743,34.724501,Bungoma
6000,B8010009,ST PATRICKS KIMUKUNGI GIRLS SEC,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,DAY AND BOARDING,135,10,13.5,BUNGOMA,KANDUYI,KIBABI,MARAKARU,KANDUYI,WESTERN,"(0.68195000000, 34.54622000000)",0.68195,34.54622,Bungoma
6001,A8010547,NAMAWANGA GIRLS SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,BOARDING,579,22,26.318181818181817,BUNGOMA,WEBUYE,BOKOLI,MIENDO,WEBUYE,WESTERN,"(0.68208400000, 34.70079400000)",0.682084,34.700794,Bungoma
6002,C8060058,ALBERT EKIRAPA SECSCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,159,9,17.666666666666668,TESO,ANGURAI,KAKAPEL,KAKAPEL,AMAGORO,WESTERN,"(0.68217800000, 34.35229800000)",0.682178,34.352298,Busia
6003,B7010343,BARTOLIMO BOYS HIGH,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING,398,21,18.952380952380953,BARINGO,KIPSARAMAN,KAPTEBEREWO,BARTOLIMO,BARINGO NORTH,RIFT VALLEY,"(0.68412000000, 35.81827000000)",0.68412,35.81827,Baringo
6004,B8050563,MUGUNGA SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,98,11,8.909090909090908,LUGARI,LUGARI,LUMAKANDA,MWAMBA,LUGARI,WESTERN,"(0.68723000000, 35.00033000000)",0.68723,35.00033,Kakamega
6005,J8010369,FRIENDS SEC SCH MAHANGA,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,340,13,26.153846153846153,BUNGOMA,WEBUYE,BOKOLI,MAHANGA,WEBUYE,WESTERN,"(0.68775000000, 34.65380000000)",0.68775,34.6538,Bungoma
6006,G7030442,KAPKESSUM SECONDARY,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,143,9,15.88888888888889,KEIYO,KAMARINY,CHEBOROR,KAPKESSUM,KEIYO NORTH,RIFT VALLEY,"(0.68939000000, 35.46912000000)",0.68939,35.46912,Keiyo-Marakwet
6007,J8010122,MAGEMO FRIENDS SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,105,9,11.666666666666666,BUNGOMA,NDIVISI,LUGUSI,MIHUU,WEBUYE,WESTERN,"(0.69050000000, 34.77294000000)",0.6905,34.77294,Bungoma
6008,C8060090,KATAKWA SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,184,12,15.333333333333334,TESO,ANGURAI,KATAKWA,KATELEPAI,AMAGORO,WESTERN,"(0.69071000000, 34.38240000000)",0.69071,34.3824,Busia
6009,G7030311,ANIN SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,BOARDING,372,19,19.57894736842105,KEIYO,TAMBACH,KAMOGICH,ANIN,KEIYO NORTH,RIFT VALLEY,"(0.69326000000, 35.53341000000)",0.69326,35.53341,Keiyo-Marakwet
6010,J8010330,KHACHONGE GIRLS SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,DAY,115,11,10.454545454545455,BUNGOMA,CENTRAL,LUUYA,WAKI,SIRISIA,WESTERN,"(0.69447000000, 34.62186000000)",0.69447,34.62186,Bungoma
6011,A8010579,FRIENDS SEC NAMBAMI,PUBLIC,COMMUNITY,MIXED,DAY,17,4,4.25,BUNGOMA,WEBUYE,MISIKHU,MISIKHU,WEBUYE,WESTERN,"(0.69448700000, 34.73965100000)",0.694487,34.739651,Bungoma
6012,C8060063,BISHOP SUSLUMETI GIRLS SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,281,19,14.789473684210526,TESO,ANGURAI,ANGURAI,CHELELEMUK,AMAGORO,WESTERN,"(0.69481200000, 34.35721900000)",0.694812,34.357219,Busia
6013,A8010631,ST MARYS BOKOLI SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,95,11,8.636363636363637,BUNGOMA,BUMULA,BUMULA,BUMULA 'B',BUMULA,WESTERN,"(0.69482800000, 34.67858600000)",0.694828,34.678586,Bungoma
6014,B8050165,IVUGWI SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,127,10,12.7,LUGARI,LIKUYANI,LIKUYANI,SOY,LUGARI,WESTERN,"(0.69493000000, 35.14910000000)",0.69493,35.1491,Kakamega
6015,E7160990,SAMOEI EDUCATIONAL CENTRE SEC SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY AND BOARDING,22,5,4.4,UASIN GISHU,MOIBEN,SERGOIT,CHEPKOILEL,ELDORET EAST,RIFT VALLEY,"(0.69497500000, 35.38927600000)",0.694975,35.389276,Uasin Gishu
6016,M8010200,BUKOKHOLO GIRLS SCONDARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,DAY AND BOARDING,104,12,8.666666666666666,BUNGOMA,MALAKISI,MALAKISI,BUKOKHOLO,SIRISIA,WESTERN,"(0.69504600000, 34.45914000000)",0.695046,34.45914,Bungoma
6017,J8010284,NAMILAMA SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,181,16,11.3125,BUNGOMA,CENTRAL,N. BUKUSU,NORTH BUKUSU,SIRISIA,WESTERN,"(0.69793000000, 34.58264000000)",0.69793,34.58264,Bungoma
6018,A8010225,KIBISI SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,190,13,14.615384615384615,BUNGOMA,TONGAREN,MBAKALO,KIBISI,KIMILILI,WESTERN,"(0.69989800000, 34.86447000000)",0.699898,34.86447,Bungoma
6019,C8060067,DEACONS ANGURAI SEC SCH,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY,54,4,13.5,TESO,ANGURAI,ANGURAI,CHELELEMUK,AMAGORO,WESTERN,"(0.70058400000, 34.35912400000)",0.700584,34.359124,Busia
6021,J8010278,SIKUSI SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,539,24,22.458333333333332,BUNGOMA,CENTRAL,KABUCHAI,SIKUSI,SIRISIA,WESTERN,"(0.70175000000, 34.56070000000)",0.70175,34.5607,Bungoma
6022,B8050646,HAN DOW SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,302,16,18.875,LUGARI,LUGARI,LUGARI,MARAKUSI,LUGARI,WESTERN,"(0.70225000000, 34.95022000000)",0.70225,34.95022,Kakamega
6023,A8010189,PWANI FRIENDS SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,58,6,9.666666666666666,BUNGOMA,TONGAREN,KABUYEFWE,KABUYEFWE,KIMILILI,WESTERN,"(0.70265600000, 34.90332400000)",0.702656,34.903324,Bungoma
6024,J8010113,SINOKO SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,197,16,12.3125,BUNGOMA,NDIVISI,NAMARAMBI,MAKUSELWA,WEBUYE,WESTERN,"(0.70348000000, 34.78800000000)",0.70348,34.788,Bungoma
6026,B8050598,MAUTUMA SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,348,20,17.4,LUGARI,LUGARI,MAUTUMA,MBAGARA,LUGARI,WESTERN,"(0.70912000000, 35.01404000000)",0.70912,35.01404,Kakamega
6027,B8050597,ST CECILIA MAUTUMA SEC,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,335,16,20.9375,LUGARI,LUGARI,MAUTUMA,MBAGARA,LUGARI,WESTERN,"(0.70964000000, 35.00664000000)",0.70964,35.00664,Kakamega
6028,C8060006,SA KOLANYA BOYS HIGH SCH,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING,854,34,25.11764705882353,TESO,ANGURAI,KOLANYA,KOLANYA,AMAGORO,WESTERN,"(0.70983100000, 34.39623800000)",0.709831,34.396238,Busia
6029,E7161805,ST LUCY'S EDUCATION CENTRE SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY AND BOARDING,46,7,6.571428571428571,UASIN GISHU,SOY,SOY,SOY,ELDORET NORTH,RIFT VALLEY,"(0.71004300000, 35.15502100000)",0.710043,35.155021,Uasin Gishu
6030,M8010301,BISUNU FRIENDS SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,113,9,12.555555555555555,BUNGOMA,SIRISIA,SIRISIA,SOUTH KULISIRU,SIRISIA,WESTERN,"(0.71029000000, 34.50107000000)",0.71029,34.50107,Bungoma
6031,A8010624,BOKOLI BOYS SEC,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,DAY,532,24,22.166666666666668,BUNGOMA,WEBUYE,BOKOLI,BOKOLI,WEBUYE,WESTERN,"(0.71040100000, 34.66299900000)",0.710401,34.662999,Bungoma
6032,C8060007,KOLANYA GIRLS SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,664,24,27.666666666666668,TESO,ANGURAI,KOLANYA,KOLANYA,AMAGORO,WESTERN,"(0.71053600000, 34.39742500000)",0.710536,34.397425,Busia
6034,A8010586,MISIKHU FRIENDS SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,BOARDING,486,25,19.44,BUNGOMA,WEBUYE,MISIKHU,MISIKHU,WEBUYE,WESTERN,"(0.71091400000, 34.72156300000)",0.710914,34.721563,Bungoma
6035,J8010101,NDIVISI SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,262,31,8.451612903225806,BUNGOMA,NDIVISI,NAMARAMBI,MAKUSELWA,WEBUYE,WESTERN,"(0.71459000000, 34.81232000000)",0.71459,34.81232,Bungoma
6036,B8050180,ST JOHNSTONE BAPTIST LIKUYANI SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,271,24,11.291666666666666,LUGARI,LIKUYANI,LIKUYANI,SOY,LUGARI,WESTERN,"(0.71459000000, 35.10933000000)",0.71459,35.10933,Kakamega
6037,E7160989,AIC TOROCHMOI SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,60,6,10.0,UASIN GISHU,MOIBEN,MUMETET,TOROCHMOI,ELDORET EAST,RIFT VALLEY,"(0.71499100000, 35.36655800000)",0.714991,35.366558,Uasin Gishu
6038,G7030010,SING'ORE GIRLS' SEC,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,551,31,17.774193548387096,KEIYO,KAMARINY,KAMOI,KAPKONGA,KEIYO NORTH,RIFT VALLEY,"(0.71629000000, 35.51658000000)",0.71629,35.51658,Keiyo-Marakwet
6039,M8010206,A.C BUTONGE SECONDARY,PUBLIC,CENTRAL GOVERNMENT/DEB,BOYS ONLY,DAY AND BOARDING,350,22,15.909090909090908,BUNGOMA,MALAKISI,MALAKISI,BUTONGE,SIRISIA,WESTERN,"(0.71652600000, 34.47002000000)",0.716526,34.47002,Bungoma
6040,E7010052,BARWESSA SEC SCH,PUBLIC,COMMUNITY,MIXED,DAY,15,5,3.0,BARINGO,BARWESA,LAWAN,BARWESSA,BARINGO NORTH,RIFT VALLEY,"(0.71782500000, 35.69613500000)",0.717825,35.696135,Baringo
6041,A8010572,MISIKHU RC SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,97,10,9.7,BUNGOMA,WEBUYE,MISIKHU,MISIKHU,WEBUYE,WESTERN,"(0.71897700000, 34.75351100000)",0.718977,34.753511,Bungoma
6042,J8010087,ST. FRANCIS HIGH SCH MAKEMO,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,298,12,24.833333333333332,BUNGOMA,NDIVISI,NAMARAMBI,MAKUSELWA,WEBUYE,WESTERN,"(0.71949000000, 34.77771000000)",0.71949,34.77771,Bungoma
6043,J8010148,FRIENDS HIGH SCH MADISI,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,254,11,23.09090909090909,BUNGOMA,CHWELE,CHWELE,SICHEI,WEBUYE,WESTERN,"(0.71972000000, 34.62738000000)",0.71972,34.62738,Bungoma
6044,A8010596,SIRENDE MIXED SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,240,15,16.0,BUNGOMA,WEBUYE,MISIKHU,MISIKHU,WEBUYE,WESTERN,"(0.72188200000, 34.69925600000)",0.721882,34.699256,Bungoma
6045,C8060075,KAKURIKIT SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,47,4,11.75,TESO,ANGURAI,ANGURAI,KAKURIKIT,AMAGORO,WESTERN,"(0.72247500000, 34.33472500000)",0.722475,34.334725,Busia
6046,B7010261,RUTH KIPTUI GIRLS HIGH KASOK,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,294,19,15.473684210526315,BARINGO,KIPSARAMAN,KAPKATA,KAPKOIWA,BARINGO NORTH,RIFT VALLEY,"(0.72257000000, 35.80887000000)",0.72257,35.80887,Baringo
6047,J8010065,ST.CECILIA GIRLS HIGH SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,958,50,19.16,BUNGOMA,NDIVISI,NAMARAMBI,MARINDA,WEBUYE,WESTERN,"(0.72272000000, 34.75480000000)",0.72272,34.7548,Bungoma
6048,A8010248,KARIMA SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,199,10,19.9,BUNGOMA,TONGAREN,MBAKALO,MBAKALO,KIMILILI,WESTERN,"(0.72390400000, 34.84774600000)",0.723904,34.847746,Bungoma
6049,J5010036,MODOGASHE SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,129,12,10.75,GARISSA,MODOGASHE,MODOGASHE,MODOGASHE,LAGDERA,NORTH EASTERN,"(0.72509000000, 39.18088000000)",0.72509,39.18088,Garissa
6050,B8050625,ST AUGUSTINE MILIMANI SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,194,10,19.4,LUGARI,LUGARI,MAUTUMA,MUKUYUNI,LUGARI,WESTERN,"(0.72532000000, 34.97800000000)",0.72532,34.978,Kakamega
6051,A8010214,MBAKALO FRIENDS SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,364,17,21.41176470588235,BUNGOMA,TONGAREN,MBAKALO,MBAKALO,KIMILILI,WESTERN,"(0.72658300000, 34.87643100000)",0.726583,34.876431,Bungoma
6052,A8010204,SIRAKARU MIXED SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,326,30,10.866666666666667,BUNGOMA,TONGAREN,KABUYEFWE,SIRAKARU,KIMILILI,WESTERN,"(0.72664800000, 34.89698100000)",0.726648,34.896981,Bungoma
6053,A8010614,FRIENDS SEC MILANI,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,178,11,16.181818181818183,BUNGOMA,WEBUYE,BOKOLI,BOKOLI,WEBUYE,WESTERN,"(0.72747100000, 34.64299400000)",0.727471,34.642994,Bungoma
6054,M8010366,TOLOSO SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,322,13,24.76923076923077,BUNGOMA,SIRISIA,NAMWELA,SOUTH NAMWELA,SIRISIA,WESTERN,"(0.73273700000, 34.54183000000)",0.732737,34.54183,Bungoma
6055,B8050657,MUKUYU GIRLS SEC,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,DAY AND BOARDING,189,11,17.181818181818183,LUGARI,LUGARI,MAUTUMA,MUKUYUNI,LUGARI,WESTERN,"(0.73299000000, 34.94760000000)",0.73299,34.9476,Kakamega
6056,B8050195,ST JOSEPH KOGO SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,222,10,22.2,LUGARI,LIKUYANI,KONGONI,SANGO,LUGARI,WESTERN,"(0.73385000000, 35.05325000000)",0.73385,35.05325,Kakamega
6057,E7161864,KIPSANGUI SEC,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING,522,30,17.4,UASIN GISHU,SOY,SOY,KONGASIS,ELDORET NORTH,RIFT VALLEY,"(0.73653200000, 35.26385400000)",0.736532,35.263854,Uasin Gishu
6058,J8010152,SICHEI FYM SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,100,5,20.0,BUNGOMA,CHWELE,CHWELE,SICHEI,SIRISIA,WESTERN,"(0.73800000000, 34.61043000000)",0.738,34.61043,Bungoma
6059,C8060003,CHAMASIRI SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,278,13,21.384615384615383,TESO,ANGURAI,CHAMASIRI,CHAMASIRI,AMAGORO,WESTERN,"(0.73838600000, 34.39255300000)",0.738386,34.392553,Busia
6060,M8010267,S.A NDAKARU HIGH SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,83,9,9.222222222222221,BUNGOMA,SIRISIA,SIRISIA,NORTH KULISIRU,SIRISIA,WESTERN,"(0.73886000000, 34.45387000000)",0.73886,34.45387,Bungoma
6061,J8010211,FRIENDS SEC SCH BUSAKALA,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,414,20,20.7,BUNGOMA,CHWELE,CHWELE,CHWELE,SIRISIA,WESTERN,"(0.73907000000, 34.57185000000)",0.73907,34.57185,Bungoma
6062,B7010357,POI MIXED DAY AND BOARDING SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,120,9,13.333333333333334,BARINGO,KIPSARAMAN,KAPKATA,KAPKOIWA,BARINGO NORTH,RIFT VALLEY,"(0.74096000000, 35.80984000000)",0.74096,35.80984,Baringo
6063,B7010376,ST JOHN  SEC SCH,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,116,7,16.571428571428573,BARINGO,KIPSARAMAN,KAPKATA,BARKETIEW,BARINGO NORTH,RIFT VALLEY,"(0.74126000000, 35.83061000000)",0.74126,35.83061,Baringo
6064,M8010011,KIBINGEI FRIENDS SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,135,11,12.272727272727273,BUNGOMA,KIMILILI,KIBINGEI,KIBINGEI,KIMILILI,WESTERN,"(0.74347500000, 34.67186700000)",0.743475,34.671867,Bungoma
6065,E7161860,KIPSANGUI SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,DAY,76,6,12.666666666666666,UASIN GISHU,SOY,SOY,KONGASIS,ELDORET NORTH,RIFT VALLEY,"(0.74369000000, 35.24824000000)",0.74369,35.24824,Uasin Gishu
6066,M8010084,NAMAWANGA BAHARI SECONDARY,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,398,18,22.11111111111111,BUNGOMA,KIMILILI,KIMILILI,KIMILILI RURAL,KIMILILI,WESTERN,"(0.74407000000, 34.75484400000)",0.74407,34.754844,Bungoma
6067,J8010073,FRIENDS SCHOOL MISEMWA SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,116,9,12.88888888888889,BUNGOMA,NDIVISI,NAMARAMBI,MISEMWA,WEBUYE,WESTERN,"(0.74671000000, 34.80479000000)",0.74671,34.80479,Bungoma
6068,J8010170,FRIENDS SEC SCH SIKULU,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,20,3,6.666666666666667,BUNGOMA,CHWELE,CHWELE,SIKULU,SIRISIA,WESTERN,"(0.74828000000, 34.65224000000)",0.74828,34.65224,Bungoma
6069,A8010340,ELUUYA FRIENDS GIRLS SEC,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,DAY AND BOARDING,625,23,27.17391304347826,BUNGOMA,TONGAREN,NAITIRI,MILIMANI,KIMILILI,WESTERN,"(0.75053300000, 34.85117000000)",0.750533,34.85117,Bungoma
6071,J8010175,MILAN S  ACA NUR SCH,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY,32,3,10.666666666666666,BUNGOMA,CHWELE,CHWELE,SIKULU,SIRISIA,WESTERN,"(0.75284000000, 34.64014000000)",0.75284,34.64014,Bungoma
6072,J8010176,MILAN S  ACA SEC SCH,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY,41,8,5.125,BUNGOMA,CHWELE,CHWELE,SIKULU,SIRISIA,WESTERN,"(0.75284000000, 34.64014000000)",0.75284,34.64014,Bungoma
6073,M8010317,KARIBUNI GIRLS SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,DAY AND BOARDING,136,8,17.0,BUNGOMA,SIRISIA,SIRISIA,NORTH KULISIRU,SIRISIA,WESTERN,"(0.75402000000, 34.51649000000)",0.75402,34.51649,Bungoma
6075,E7160869,ST PETER'S NGOISA SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,123,10,12.3,UASIN GISHU,MOIBEN,MUMETET,MEREWET,ELDORET EAST,RIFT VALLEY,"(0.75524600000, 35.30068400000)",0.755246,35.300684,Uasin Gishu
6076,J8010177,TEREMI HIGH SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,1046,37,28.27027027027027,BUNGOMA,CHWELE,MUKUYUNI,KIBICHORI,SIRISIA,WESTERN,"(0.75639000000, 34.62881000000)",0.75639,34.62881,Bungoma
6077,B8050250,MOI NANGILI GIRLS HIGH,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,666,32,20.8125,LUGARI,LIKUYANI,KONGONI,KONGIT,LUGARI,WESTERN,"(0.75664000000, 35.13729000000)",0.75664,35.13729,Kakamega
6078,J8010183,CHEBUKAKA GIRLS SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,DAY,419,21,19.952380952380953,BUNGOMA,CHWELE,MUKUYUNI,KIBICHORI,SIRISIA,WESTERN,"(0.75694000000, 34.61159000000)",0.75694,34.61159,Bungoma
6079,E7160890,SOSIYO SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,218,15,14.533333333333333,UASIN GISHU,MOIBEN,KARONA,SOSIYO,ELDORET EAST,RIFT VALLEY,"(0.75745400000, 35.44235700000)",0.757454,35.442357,Uasin Gishu
6080,A8010331,NAITIRI BOYS SEC,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,DAY AND BOARDING,369,18,20.5,BUNGOMA,TONGAREN,MBAKALO,MBAKALO,KIMILILI,WESTERN,"(0.75781100000, 34.89353600000)",0.757811,34.893536,Bungoma
6081,M8010259,ST.JOHN'S MACHAKHA MIXED SECONDARY,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,110,10,11.0,BUNGOMA,MALAKISI,NAMUBILA,MACHAKHA,SIRISIA,WESTERN,"(0.75797000000, 34.43904000000)",0.75797,34.43904,Bungoma
6082,C8060042,MODING SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,256,17,15.058823529411764,TESO,ANGURAI,MODING,MODING,AMAGORO,WESTERN,"(0.75848800000, 34.34223600000)",0.758488,34.342236,Busia
6083,A8010175,FRIENDS SEC NAITIRI,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,144,11,13.090909090909092,BUNGOMA,TONGAREN,KABUYEFWE,KABUYEFWE,KIMILILI,WESTERN,"(0.75861500000, 34.91277400000)",0.758615,34.912774,Bungoma
6084,E7161811,ST MICHAEL KIPSOMBE SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,176,16,11.0,UASIN GISHU,SOY,KIPSOMBA,KIPSOMBA,ELDORET NORTH,RIFT VALLEY,"(0.75964500000, 35.17255800000)",0.759645,35.172558,Uasin Gishu
6085,M8010321,ST. ANTHONY'S SIRISIA BOYS HIGH SCHOL,PUBLIC,CENTRAL GOVERNMENT/DEB,BOYS ONLY,BOARDING,245,13,18.846153846153847,BUNGOMA,SIRISIA,SIRISIA,NORTH KULISIRU,SIRISIA,WESTERN,"(0.76072000000, 34.50875000000)",0.76072,34.50875,Bungoma
6086,M8010064,FRIENDS SECONDARY SCHOOL BITUYU,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,19,4,4.75,BUNGOMA,KIMILILI,KIMILILI,KIMILILI TOWN,KIMILILI,WESTERN,"(0.76168900000, 34.71073100000)",0.761689,34.710731,Bungoma
